query_num,operator,estimated,actual,q_error
1,PROJECTION,2298,49985,21.751523063533508
1,HASH_GROUP_BY,2298,49985,21.751523063533508
1,PROJECTION,2305,55326,24.002603036876355
1,PROJECTION,2305,55326,24.002603036876355
1,HASH_JOIN,2305,55326,24.002603036876355
1,TABLE_SCAN,287867,55326,5.203105230813723
1,TABLE_SCAN,585,365,1.6027397260273972
1,PROJECTION,0,49458,49458.0
1,HASH_JOIN,0,49458,49458.0
2,PROJECTION,451782,263,1717.8022813688212
2,HASH_GROUP_BY,451782,263,1717.8022813688212
2,PROJECTION,2160932,2153556,1.0034250328294225
2,PROJECTION,2160932,2153556,1.0034250328294225
2,HASH_JOIN,2160932,2153556,1.0034250328294225
2,TABLE_SCAN,73049,0,73049.0
2,TABLE_SCAN,719384,719199,1.000257230613502
3,PROJECTION,0,24,24.0
3,PROJECTION,182,24,7.583333333333333
3,PROJECTION,182,24,7.583333333333333
3,PROJECTION,182,24,7.583333333333333
3,HASH_GROUP_BY,182,24,7.583333333333333
3,PROJECTION,183,239,1.3060109289617485
3,PROJECTION,183,239,1.3060109289617485
3,HASH_JOIN,183,239,1.3060109289617485
3,FILTER,5620,155,36.25806451612903
3,TABLE_SCAN,5620,155,36.25806451612903
5,HASH_GROUP_BY,5,527,105.4
5,PROJECTION,5156,523,9.8585086042065
5,PROJECTION,1990,0,1990.0
5,PROJECTION,1990,6,331.6666666666667
5,HASH_GROUP_BY,1990,6,331.6666666666667
5,PROJECTION,633619,30616,20.695681996341783
5,HASH_JOIN,633619,30616,20.695681996341783
5,HASH_JOIN,633619,30616,20.695681996341783
5,FILTER,14609,0,14609.0
5,PROJECTION,287867,29110,9.8889385091034
5,TABLE_SCAN,287867,29110,9.8889385091034
6,PROJECTION,0,47,47.0
6,PROJECTION,11,47,4.2727272727272725
6,FILTER,11,47,4.2727272727272725
6,PROJECTION,55,51,1.0784313725490196
6,HASH_GROUP_BY,55,51,1.0784313725490196
6,PROJECTION,6711,3312,2.026268115942029
6,PROJECTION,6711,3312,2.026268115942029
6,PROJECTION,6711,3312,2.026268115942029
6,FILTER,6711,3312,2.026268115942029
6,HASH_JOIN,6711,32367,4.822977201609298
6,TABLE_SCAN,50000,49965,1.0007004903432404
6,TABLE_SCAN,100000,99984,1.0001600256040966
6,TABLE_SCAN,18000,18000,1.0
6,TABLE_SCAN,2880404,33179,86.81406914011875
6,TABLE_SCAN,73049,31,2356.4193548387098
6,UNGROUPED_AGGREGATE,2926,1,2926.0
6,PROJECTION,585,1,585.0
6,PROJECTION,585,1,585.0
6,HASH_GROUP_BY,585,1,585.0
6,PROJECTION,585,31,18.870967741935484
6,PROJECTION,585,31,18.870967741935484
6,TABLE_SCAN,585,31,18.870967741935484
7,HASH_GROUP_BY,607,4967,8.182866556836903
7,PROJECTION,620,7532,12.148387096774194
7,HASH_JOIN,620,7532,12.148387096774194
7,TABLE_SCAN,18000,17995,1.000277854959711
7,HASH_JOIN,3295,7645,2.320182094081942
7,FILTER,274400,27438,10.000728916101757
7,TABLE_SCAN,274400,27438,10.000728916101757
7,TABLE_SCAN,585,365,1.6027397260273972
8,PROJECTION,0,0,0.0
8,PROJECTION,1280630,0,1280630.0
8,PROJECTION,1280630,0,1280630.0
8,HASH_GROUP_BY,1280630,0,1280630.0
8,PROJECTION,6470351,0,6470351.0
8,PROJECTION,6470351,0,6470351.0
8,HASH_JOIN,6470351,0,6470351.0
8,HASH_JOIN,23067,845,27.298224852071005
8,TABLE_SCAN,2880404,1250,2304.3232
8,TABLE_SCAN,585,91,6.428571428571429
8,PROJECTION,10000,212,47.16981132075472
8,TABLE_SCAN,10000,212,47.16981132075472
8,FILTER,561,936,1.6684491978609626
8,PROJECTION,2809,3168,1.1278034887860449
8,HASH_GROUP_BY,2809,3168,1.1278034887860449
8,PROJECTION,64434,47377,1.3600270173290838
8,PROJECTION,64434,47377,1.3600270173290838
8,HASH_JOIN,64434,47377,1.3600270173290838
8,TABLE_SCAN,50000,50000,1.0
9,PROJECTION,1,1,1.0
9,TABLE_SCAN,1,1,1.0
9,PROJECTION,1,1,1.0
10,PROJECTION,0,7,7.0
10,PROJECTION,5154,7,736.2857142857143
10,PROJECTION,5154,7,736.2857142857143
10,PROJECTION,5154,7,736.2857142857143
10,PROJECTION,5154,7,736.2857142857143
10,PROJECTION,5154,7,736.2857142857143
10,PROJECTION,5154,7,736.2857142857143
10,FILTER,5154,7,736.2857142857143
10,HASH_JOIN,5154,0,5154.0
10,HASH_JOIN,5154,0,5154.0
10,HASH_JOIN,5154,1051,4.903901046622265
10,TABLE_SCAN,5154,1086,4.745856353591161
10,TABLE_SCAN,9201,99901,10.85762417128573
10,FILTER,585,544,1.0753676470588236
10,HASH_JOIN,585,50000,85.47008547008546
10,TABLE_SCAN,0,50000,50000.0
